"","PC1","PC2","cluster","label"
"cell_281",0.033613393988292,0.000391251234494739,"Cluster_1","Normal"
"cell_282",0.0340343831427829,-0.00422513117613704,"Cluster_1","Normal"
"cell_283",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_284",0.0321742015026966,0.0179671327524536,"Cluster_1","Normal"
"cell_285",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_286",0.032745445775456,0.0016616127764077,"Cluster_1","Normal"
"cell_287",0.0325552445948173,0.005925527330764,"Cluster_1","Normal"
"cell_288",0.0330644950442172,-0.000483296026192767,"Cluster_1","Normal"
"cell_289",0.0307090225604216,0.00322389414334272,"Cluster_1","Normal"
"cell_290",0.0336174957561519,-0.00250356157980372,"Cluster_1","Normal"
"cell_291",0.0328759755549208,-0.00291032762297619,"Cluster_1","Normal"
"cell_292",0.0317784004141855,0.0155922439887964,"Cluster_1","Normal"
"cell_293",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_294",0.0314195790297395,0.00823378657354784,"Cluster_1","Normal"
"cell_295",0.0317752614249648,0.00542471122454656,"Cluster_1","Normal"
"cell_296",0.0335022994987386,-0.00248112105786187,"Cluster_1","Normal"
"cell_297",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_298",0.0337057044159458,0.00524551413030784,"Cluster_1","Normal"
"cell_299",0.0336325004561294,-0.00299975581903459,"Cluster_1","Normal"
"cell_300",0.032869625365737,-0.00366186321182771,"Cluster_1","Normal"
"cell_301",0.0304567422023045,0.0150808329967602,"Cluster_1","Normal"
"cell_302",0.0308337137800648,0.0225234740356165,"Cluster_1","Normal"
"cell_303",0.0331590607168626,0.00208132722578269,"Cluster_1","Normal"
"cell_304",0.0335022994987386,-0.00248112105786187,"Cluster_1","Normal"
"cell_305",0.0331720443884846,-0.000635766620561198,"Cluster_1","Normal"
"cell_306",0.0334401304915006,-0.006450397288258,"Cluster_1","Normal"
"cell_307",0.0341531799017961,-0.00436093286559195,"Cluster_1","Normal"
"cell_308",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_309",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_310",0.0316740023511436,-0.0228162897431717,"Cluster_1","Normal"
"cell_311",0.0324757389538613,0.00567172722632749,"Cluster_1","Normal"
"cell_312",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_313",0.0332809851320066,-0.000918714463067039,"Cluster_1","Normal"
"cell_314",0.0330958119824982,0.000698269031917482,"Cluster_1","Normal"
"cell_315",0.0070890526165617,-0.00859497743667189,"Cluster_2","Normal"
"cell_316",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_317",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_318",0.0104597655404442,0.464322426525534,"Cluster_3","Normal"
"cell_319",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_320",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_321",0.0337046482694248,-0.00242902598889883,"Cluster_1","Normal"
"cell_322",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_323",0.0321561655540888,0.00643267633707493,"Cluster_1","Normal"
"cell_324",0.0330281865407175,9.8694161585473e-05,"Cluster_1","Normal"
"cell_325",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_326",0.0322205297382266,0.00839720851513185,"Cluster_1","Normal"
"cell_327",0.033309993660697,-0.000988987712245067,"Cluster_1","Normal"
"cell_328",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_329",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_330",0.0326268575372826,0.00549584165158142,"Cluster_1","Normal"
"cell_331",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_332",0.0341452070639705,-0.00464372597494848,"Cluster_1","Normal"
"cell_333",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_334",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_335",0.0335150129707184,-0.0122632866434943,"Cluster_1","Normal"
"cell_336",0.0295806573603057,0.000885149212664693,"Cluster_1","Normal"
"cell_337",0.0330854558659344,-0.000734035773716418,"Cluster_1","Normal"
"cell_338",0.0340136591234765,-0.00415309924306969,"Cluster_1","Normal"
"cell_339",0.0327259282968949,0.00115571070902592,"Cluster_1","Normal"
"cell_340",0.0334744252244219,-0.00143093610759942,"Cluster_1","Normal"
"cell_341",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_342",0.0320028110784708,0.00779272781816763,"Cluster_1","Normal"
"cell_343",0.0333427337616292,-0.00182625608488918,"Cluster_1","Normal"
"cell_344",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_345",0.0333751391516072,-0.0229209372928563,"Cluster_1","Normal"
"cell_346",0.0330249993967103,0.00104603688178211,"Cluster_1","Normal"
"cell_347",0.0340343831427829,-0.00422513117613704,"Cluster_1","Normal"
"cell_348",0.0330491212691449,0.000931346434277947,"Cluster_1","Normal"
"cell_349",0.0342751269138447,-0.00485187576146263,"Cluster_1","Normal"
"cell_350",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_351",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_352",0.0321399463995642,-0.0021967485476431,"Cluster_1","Normal"
"cell_353",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_354",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_355",0.0315164200144972,0.00933186149003784,"Cluster_1","Normal"
"cell_356",0.0328685835580688,0.00175222903856163,"Cluster_1","Normal"
"cell_357",0.0328310128911302,0.00839827426786513,"Cluster_1","Normal"
"cell_358",0.0323334544869096,0.00610362916104337,"Cluster_1","Normal"
"cell_359",0.0331726214403095,-0.001441406454382,"Cluster_1","Normal"
"cell_360",0.0336180073385056,-0.0020095904583091,"Cluster_1","Normal"
"cell_361",0.0336826686484695,-0.00120537187237072,"Cluster_1","Normal"
"cell_362",0.0339474932903692,-0.00405295815783221,"Cluster_1","Normal"
"cell_363",0.0340343831427829,-0.00422513117613704,"Cluster_1","Normal"
"cell_364",0.0335097475826122,-0.0014628729135979,"Cluster_1","Normal"
"cell_365",0.0340343831427829,-0.00422513117613704,"Cluster_1","Normal"
"cell_366",0.0347071308753865,-0.00555336972181389,"Cluster_1","Normal"
"cell_367",0.0333324522406673,-0.00096360573879173,"Cluster_1","Normal"
